Optical Glauber:
b[fm]	dsigma/db[barn/fm]
15.370000	0.323930
15.390000	0.316706
15.410000	0.309596
15.430000	0.302590
15.450000	0.295693
15.470000	0.288911
15.490000	0.282237
15.510000	0.275674
15.530000	0.269226
15.550000	0.262888
15.570000	0.256663
15.590000	0.250550
15.610000	0.244548
15.630000	0.238661
15.650000	0.232882
15.670000	0.227216
15.690000	0.221661
15.710000	0.216214
15.730000	0.210880
15.750000	0.205652
15.770000	0.200530
15.790000	0.195517
15.810000	0.190608
15.830000	0.185805
15.850000	0.181102
15.870000	0.176505
15.890000	0.172007
15.910000	0.167610
15.930000	0.163308
15.950000	0.159108
15.970000	0.155000
15.990000	0.150989
16.010000	0.147069
16.030000	0.143240
16.050000	0.139502
16.070000	0.135852
16.090000	0.132289
16.110000	0.128812
16.130000	0.125420
16.150000	0.122108
16.170000	0.118880
16.190000	0.115730
16.210000	0.112659
16.230000	0.109663
16.250000	0.106743
16.270000	0.103897
16.290000	0.101123
16.310000	0.098420
16.330000	0.095786
16.350000	0.093219
16.370000	0.090720
16.390000	0.088284
16.410000	0.085913
16.430000	0.083604
16.450000	0.081355
16.470000	0.079166
16.490000	0.077035
16.510000	0.074961
16.530000	0.072943
16.550000	0.070978
16.570000	0.069067
16.590000	0.067207
16.610000	0.065398
16.630000	0.063638
16.650000	0.061927
16.670000	0.060261
16.690000	0.058642
16.710000	0.057068
16.730000	0.055537
16.750000	0.054049
16.770000	0.052602
16.790000	0.051196
16.810000	0.049829
16.830000	0.048500
16.850000	0.047209
16.870000	0.045954
16.890000	0.044735
16.910000	0.043550
16.930000	0.042399
16.950000	0.041282
16.970000	0.040195
16.990000	0.039140
17.010000	0.038116
17.030000	0.037121
17.050000	0.036154
17.070000	0.035216
17.090000	0.034304
17.110000	0.033420
17.130000	0.032561
17.150000	0.031727
17.170000	0.030917
17.190000	0.030132
17.210000	0.029369
17.230000	0.028629
17.250000	0.027910
17.270000	0.027213
17.290000	0.026536
17.310000	0.025880
17.330000	0.025243
17.350000	0.024625
17.370000	0.024025
17.390000	0.023444
17.410000	0.022879
17.430000	0.022332
17.450000	0.021801
17.470000	0.021286
17.490000	0.020787
17.510000	0.020303
17.530000	0.019833
17.550000	0.019378
17.570000	0.018936
17.590000	0.018508
17.610000	0.018093
17.630000	0.017691
17.650000	0.017301
17.670000	0.016923
17.690000	0.016556
17.710000	0.016201
17.730000	0.015857
17.750000	0.015523
17.770000	0.015200
17.790000	0.014887
17.810000	0.014583
17.830000	0.014289
17.850000	0.014005
17.870000	0.013729
17.890000	0.013461
17.910000	0.013203
17.930000	0.012952
17.950000	0.012709
17.970000	0.012474
17.990000	0.012246
18.010000	0.012025
