proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
8.760000	0.000366	0.000164
8.840000	0.000147	0.000104
8.920000	0.000659	0.000220
9.000000	0.000513	0.000194
9.080000	0.000366	0.000164
9.160000	0.000366	0.000164
9.240000	0.000366	0.000164
9.320000	0.000000	0.000000
9.400000	0.000293	0.000147
9.480000	0.000366	0.000164
9.560000	0.000366	0.000164
9.640000	0.000440	0.000179
9.720000	0.000073	0.000073
9.800000	0.000220	0.000127
9.880000	0.000366	0.000164
9.960000	0.000147	0.000104
10.040000	0.000220	0.000127
10.120000	0.000293	0.000147
10.200000	0.000293	0.000147
10.280000	0.000440	0.000179
10.360000	0.000293	0.000147
10.440000	0.000073	0.000073
10.520000	0.000366	0.000164
10.600000	0.000073	0.000073
10.680000	0.000073	0.000073
10.760000	0.000366	0.000164
10.840000	0.000073	0.000073
10.920000	0.000366	0.000164
11.000000	0.000147	0.000104
11.080000	0.000220	0.000127
11.160000	0.000147	0.000104
11.240000	0.000440	0.000179
11.320000	0.000147	0.000104
11.400000	0.000147	0.000104
11.480000	0.000073	0.000073
11.560000	0.000220	0.000127
11.640000	0.000293	0.000147
11.720000	0.000366	0.000164
11.800000	0.000293	0.000147
11.880000	0.000073	0.000073
11.960000	0.000366	0.000164
12.040000	0.000147	0.000104
12.120000	0.000073	0.000073
12.200000	0.000073	0.000073
12.280000	0.000293	0.000147
12.360000	0.000220	0.000127
12.440000	0.000073	0.000073
12.520000	0.000293	0.000147
12.600000	0.000073	0.000073
12.680000	0.000073	0.000073
12.760000	0.000220	0.000127
12.840000	0.000147	0.000104
12.920000	0.000147	0.000104
13.000000	0.000000	0.000000
13.080000	0.000220	0.000127
13.160000	0.000073	0.000073
13.240000	0.000147	0.000104
13.320000	0.000000	0.000000
13.400000	0.000073	0.000073
13.480000	0.000000	0.000000
13.560000	0.000147	0.000104
13.640000	0.000366	0.000164
13.720000	0.000147	0.000104
13.800000	0.000440	0.000179
13.880000	0.000073	0.000073
13.960000	0.000147	0.000104
14.040000	0.000220	0.000127
14.120000	0.000000	0.000000
14.200000	0.000220	0.000127
14.280000	0.000147	0.000104
14.360000	0.000147	0.000104
14.440000	0.000147	0.000104
14.520000	0.000147	0.000104
14.600000	0.000000	0.000000
14.680000	0.000147	0.000104
14.760000	0.000366	0.000164
14.840000	0.000220	0.000127
14.920000	0.000293	0.000147
15.000000	0.000073	0.000073
15.080000	0.000073	0.000073
15.160000	0.000000	0.000000
15.240000	0.000000	0.000000
15.320000	0.000000	0.000000
15.400000	0.000220	0.000127
15.480000	0.000073	0.000073
15.560000	0.000000	0.000000
15.640000	0.000000	0.000000
15.720000	0.000513	0.000194
15.800000	0.000220	0.000127
15.880000	0.000073	0.000073
15.960000	0.000220	0.000127
16.040000	0.000220	0.000127
16.120000	0.000000	0.000000
16.200000	0.000147	0.000104
16.280000	0.000220	0.000127
16.360000	0.000220	0.000127
16.440000	0.000220	0.000127
16.520000	0.000220	0.000127
16.600000	0.000147	0.000104
16.680000	0.000000	0.000000
16.760000	0.000000	0.000000
16.840000	0.000220	0.000127
16.920000	0.000220	0.000127
