#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.6       0.7        0.6523     7.9780e-002     2.8443e-003     1.1355e-002     1.1706e-002
0.7       0.9        0.8020     5.6476e-002     1.1830e-003     7.9018e-003     7.9898e-003
0.9       1.0        0.9498     3.7609e-002     1.1294e-003     5.1903e-003     5.3117e-003
1.0       1.3        1.1446     2.1519e-002     5.3312e-004     2.9309e-003     2.9790e-003
1.3       1.7        1.4845     6.1118e-003     2.9927e-004     8.2435e-004     8.7699e-004
1.7       2.0        1.8396     1.6805e-003     2.6693e-004     2.2780e-004     3.5092e-004
2.0       2.5        2.2191     5.0785e-004     6.1816e-005     7.0225e-005     9.3557e-005
2.5       3.0        2.7178     1.1383e-004     2.5807e-005     1.6363e-005     3.0557e-005
3.0       4.0        3.3767     1.4793e-005     4.7457e-006     2.2770e-006     5.2637e-006

#cen   60-80%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4500     2.8098e-002     2.5125e-003     3.4926e-003     4.3024e-003
0.5       0.6        0.5547     2.4096e-002     1.3001e-003     2.9849e-003     3.2557e-003
0.6       0.7        0.6515     1.8770e-002     7.7008e-004     2.3165e-003     2.4412e-003
0.7       0.9        0.8006     1.2726e-002     3.1929e-004     1.5612e-003     1.5935e-003
0.9       1.0        0.9496     8.2175e-003     3.1888e-004     1.0017e-003     1.0512e-003
1.0       1.3        1.1427     4.0924e-003     1.4237e-004     4.9448e-004     5.1457e-004
1.3       1.7        1.4814     1.0874e-003     5.5671e-005     1.2946e-004     1.4093e-004
1.7       2.0        1.8380     3.5546e-004     5.7570e-005     4.1813e-005     7.1152e-005
2.0       2.5        2.2150     5.9664e-005     1.6437e-005     6.9688e-006     1.7853e-005
2.5       3.0        2.7142     1.2492e-005     5.8585e-006     1.4689e-006     6.0398e-006
3.0       4.0        3.3666     1.4956e-006     7.6162e-007     1.8590e-007     7.8398e-007

#Au+Au sqrt(s_NN) = 27 GeV

#cen   0-10%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4465     9.0000e-001     9.1166e-002     1.4511e-001     1.7137e-001
0.5       0.6        0.5496     7.5018e-001     3.7478e-002     1.1808e-001     1.2388e-001
0.6       0.7        0.6555     6.3906e-001     2.3067e-002     9.8262e-002     1.0093e-001
0.7       0.9        0.8045     4.6541e-001     1.0760e-002     6.9182e-002     7.0013e-002
0.9       1.0        0.9502     3.7163e-001     1.0280e-002     5.3495e-002     5.4474e-002
1.0       1.3        1.1474     2.2805e-001     4.3728e-003     3.1544e-002     3.1845e-002
1.3       1.7        1.4887     9.3218e-002     2.8617e-003     1.2133e-002     1.2466e-002
1.7       2.0        1.8417     3.1756e-002     1.8802e-003     3.9402e-003     4.3658e-003
2.0       2.5        2.2238     8.5823e-003     5.7006e-004     1.0262e-003     1.1739e-003
2.5       3.0        2.7213     1.6225e-003     2.2633e-004     1.9054e-004     2.9586e-004
3.0       4.0        3.3839     2.0930e-004     3.6811e-005     2.5320e-005     4.4678e-005
4.0       5.0        4.3787     9.7225e-006     5.6225e-006     1.3320e-006     5.7781e-006

#cen   10-20%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4465     6.6478e-001     5.4848e-002     1.0021e-001     1.1424e-001
0.5       0.6        0.5496     5.0218e-001     2.4091e-002     7.5166e-002     7.8933e-002
0.6       0.7        0.6551     4.4627e-001     1.5517e-002     6.6381e-002     6.8171e-002
0.7       0.9        0.8043     3.2688e-001     7.2593e-003     4.8239e-002     4.8782e-002
0.9       1.0        0.9502     2.3555e-001     6.0768e-003     3.4545e-002     3.5075e-002
1.0       1.3        1.1472     1.5281e-001     2.8184e-003     2.2278e-002     2.2456e-002
1.3       1.7        1.4885     6.1310e-002     1.8774e-003     8.8998e-003     9.0957e-003
1.7       2.0        1.8416     1.8351e-002     1.1124e-003     2.6695e-003     2.8920e-003
2.0       2.5        2.2235     5.5421e-003     3.4362e-004     8.1289e-004     8.8254e-004
2.5       3.0        2.7210     1.1364e-003     1.4303e-004     1.6930e-004     2.2163e-004
3.0       4.0        3.3828     1.2174e-004     1.9053e-005     1.8598e-005     2.6626e-005
4.0       5.0        4.3776     5.7012e-006     1.7691e-006     8.8386e-007     1.9776e-006

#cen   20-30%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4461     4.3465e-001     4.1035e-002     6.8846e-002     8.0147e-002
0.5       0.6        0.5496     3.5203e-001     1.8247e-002     5.5573e-002     5.8493e-002
0.6       0.7        0.6543     3.0157e-001     1.0002e-002     4.7422e-002     4.8465e-002
0.7       0.9        0.8039     2.4285e-001     4.5360e-003     3.7927e-002     3.8198e-002
0.9       1.0        0.9502     1.6738e-001     4.2590e-003     2.5935e-002     2.6283e-002
1.0       1.3        1.1468     1.0201e-001     1.8691e-003     1.5618e-002     1.5730e-002
1.3       1.7        1.4877     3.5972e-002     1.1444e-003     5.3763e-003     5.4967e-003
1.7       2.0        1.8411     1.4565e-002     9.2201e-004     2.1195e-003     2.3114e-003
2.0       2.5        2.2224     3.2515e-003     2.3576e-004     4.5863e-004     5.1568e-004
2.5       3.0        2.7199     6.7109e-004     7.4875e-005     9.1343e-005     1.1811e-004
3.0       4.0        3.3789     6.2628e-005     1.1688e-005     8.2535e-006     1.4308e-005
4.0       5.0        4.3738     4.0208e-006     1.8217e-006     5.4751e-007     1.9022e-006

#cen   30-40%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4457     2.6503e-001     2.0892e-002     3.8852e-002     4.4113e-002
0.5       0.6        0.5495     2.3915e-001     1.0874e-002     3.4838e-002     3.6495e-002
0.6       0.7        0.6535     2.0722e-001     6.7919e-003     2.9970e-002     3.0730e-002
0.7       0.9        0.8035     1.5207e-001     2.8513e-003     2.1727e-002     2.1913e-002
0.9       1.0        0.9501     1.0419e-001     2.6560e-003     1.4684e-002     1.4922e-002
1.0       1.3        1.1463     6.3612e-002     1.1912e-003     8.7881e-003     8.8685e-003
1.3       1.7        1.4870     2.1339e-002     7.0507e-004     2.8406e-003     2.9268e-003
1.7       2.0        1.8407     6.4856e-003     4.3948e-004     8.3320e-004     9.4199e-004
2.0       2.5        2.2213     2.0782e-003     1.5730e-004     2.5877e-004     3.0283e-004
2.5       3.0        2.7188     3.1799e-004     2.7186e-005     3.9159e-005     4.7671e-005
3.0       4.0        3.3749     3.6195e-005     8.9264e-006     4.8029e-006     1.0137e-005
4.0       5.0        4.3698     1.6281e-006     6.9580e-007     2.8939e-007     7.5358e-007

#cen   40-60%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4430     1.5870e-001     1.1443e-002     2.3336e-002     2.5991e-002
0.5       0.6        0.5493     1.2434e-001     5.3826e-003     1.8274e-002     1.9050e-002
0.6       0.7        0.6521     1.0061e-001     3.1352e-003     1.4776e-002     1.5105e-002
0.7       0.9        0.8018     7.2790e-002     1.2792e-003     1.0676e-002     1.0753e-002
0.9       1.0        0.9498     4.8651e-002     1.1311e-003     7.1247e-003     7.2139e-003
1.0       1.3        1.1444     2.7411e-002     4.5608e-004     4.0043e-003     4.0301e-003
1.3       1.7        1.4848     9.0506e-003     2.4987e-004     1.3152e-003     1.3387e-003
1.7       2.0        1.8400     2.8282e-003     1.8134e-004     4.0848e-004     4.4692e-004
2.0       2.5        2.2210     7.7888e-004     5.1955e-005     1.1164e-004     1.2314e-004
2.5       3.0        2.7206     1.3920e-004     1.5362e-005     1.9762e-005     2.5030e-005
3.0       4.0        3.3899     1.8684e-005     2.9657e-006     2.6197e-006     3.9570e-006
4.0       5.0        4.3962     1.2383e-006     4.8278e-007     1.7237e-007     5.1263e-007

#cen   60-80%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4497     3.2413e-002     2.2459e-003     3.8028e-003     4.4165e-003
