proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
5.240000	0.002320	0.000447
5.320000	0.002149	0.000430
5.400000	0.001891	0.000403
5.480000	0.002664	0.000479
5.560000	0.002149	0.000430
5.640000	0.001719	0.000384
5.720000	0.001805	0.000394
5.800000	0.002063	0.000421
5.880000	0.001547	0.000365
5.960000	0.001977	0.000412
6.040000	0.002063	0.000421
6.120000	0.002578	0.000471
6.200000	0.002406	0.000455
6.280000	0.001633	0.000375
6.360000	0.002406	0.000455
6.440000	0.001633	0.000375
6.520000	0.001719	0.000384
6.600000	0.001375	0.000344
6.680000	0.001203	0.000322
6.760000	0.001891	0.000403
6.840000	0.002149	0.000430
6.920000	0.001289	0.000333
7.000000	0.001633	0.000375
7.080000	0.002063	0.000421
7.160000	0.001977	0.000412
7.240000	0.001805	0.000394
7.320000	0.001547	0.000365
7.400000	0.002063	0.000421
7.480000	0.000773	0.000258
7.560000	0.001977	0.000412
7.640000	0.001203	0.000322
7.720000	0.001461	0.000354
7.800000	0.001719	0.000384
7.880000	0.002320	0.000447
7.960000	0.001117	0.000310
8.040000	0.001117	0.000310
8.120000	0.001719	0.000384
8.200000	0.001375	0.000344
8.280000	0.001805	0.000394
8.360000	0.001547	0.000365
8.440000	0.001461	0.000354
8.520000	0.001031	0.000298
8.600000	0.001547	0.000365
8.680000	0.001375	0.000344
8.760000	0.001375	0.000344
8.840000	0.001031	0.000298
8.920000	0.002492	0.000463
9.000000	0.001289	0.000333
9.080000	0.001203	0.000322
9.160000	0.001719	0.000384
9.240000	0.001805	0.000394
9.320000	0.001203	0.000322
9.400000	0.001719	0.000384
9.480000	0.000945	0.000285
9.560000	0.001547	0.000365
9.640000	0.001891	0.000403
9.720000	0.001289	0.000333
9.800000	0.002149	0.000430
9.880000	0.001891	0.000403
9.960000	0.001461	0.000354
10.040000	0.002235	0.000438
10.120000	0.001633	0.000375
10.200000	0.001805	0.000394
10.280000	0.001633	0.000375
10.360000	0.001547	0.000365
10.440000	0.001203	0.000322
10.520000	0.001719	0.000384
10.600000	0.001375	0.000344
10.680000	0.001719	0.000384
10.760000	0.001633	0.000375
10.840000	0.002235	0.000438
10.920000	0.002235	0.000438
11.000000	0.003094	0.000516
11.080000	0.001461	0.000354
11.160000	0.001805	0.000394
11.240000	0.001805	0.000394
11.320000	0.002063	0.000421
11.400000	0.001289	0.000333
11.480000	0.001547	0.000365
11.560000	0.001977	0.000412
11.640000	0.001891	0.000403
11.720000	0.002063	0.000421
11.800000	0.001547	0.000365
11.880000	0.001375	0.000344
11.960000	0.001805	0.000394
12.040000	0.001031	0.000298
12.120000	0.001719	0.000384
12.200000	0.001891	0.000403
12.280000	0.001461	0.000354
12.360000	0.001289	0.000333
12.440000	0.001461	0.000354
12.520000	0.000859	0.000272
12.600000	0.001977	0.000412
12.680000	0.001031	0.000298
12.760000	0.001547	0.000365
12.840000	0.001203	0.000322
12.920000	0.002063	0.000421
13.000000	0.001805	0.000394
13.080000	0.001289	0.000333
13.160000	0.001719	0.000384
13.240000	0.001461	0.000354
13.320000	0.001547	0.000365
13.400000	0.001547	0.000365
13.480000	0.001547	0.000365
13.560000	0.001805	0.000394
13.640000	0.001375	0.000344
13.720000	0.001461	0.000354
13.800000	0.001461	0.000354
13.880000	0.002836	0.000494
13.960000	0.002063	0.000421
14.040000	0.001547	0.000365
14.120000	0.001289	0.000333
14.200000	0.001719	0.000384
14.280000	0.002235	0.000438
14.360000	0.001633	0.000375
14.440000	0.001891	0.000403
14.520000	0.001633	0.000375
14.600000	0.001289	0.000333
14.680000	0.002235	0.000438
14.760000	0.002320	0.000447
14.840000	0.001891	0.000403
14.920000	0.001633	0.000375
15.000000	0.001891	0.000403
15.080000	0.001289	0.000333
15.160000	0.001805	0.000394
15.240000	0.001461	0.000354
15.320000	0.001805	0.000394
15.400000	0.001633	0.000375
15.480000	0.001289	0.000333
15.560000	0.001375	0.000344
15.640000	0.001977	0.000412
15.720000	0.001461	0.000354
15.800000	0.001203	0.000322
15.880000	0.001547	0.000365
15.960000	0.001719	0.000384
16.040000	0.001891	0.000403
16.120000	0.001289	0.000333
16.200000	0.001805	0.000394
16.280000	0.001203	0.000322
16.360000	0.001633	0.000375
16.440000	0.001289	0.000333
16.520000	0.001633	0.000375
16.600000	0.001977	0.000412
16.680000	0.001719	0.000384
16.760000	0.002063	0.000421
16.840000	0.001461	0.000354
16.920000	0.002320	0.000447
17.000000	0.001891	0.000403
17.080000	0.001633	0.000375
17.160000	0.001203	0.000322
17.240000	0.001977	0.000412
17.320000	0.001805	0.000394
17.400000	0.001805	0.000394
17.480000	0.001547	0.000365
17.560000	0.001891	0.000403
17.640000	0.002406	0.000455
17.720000	0.001805	0.000394
17.800000	0.001547	0.000365
17.880000	0.001461	0.000354
17.960000	0.001891	0.000403
18.040000	0.002149	0.000430
18.120000	0.002320	0.000447
18.200000	0.001977	0.000412
18.280000	0.002406	0.000455
18.360000	0.001633	0.000375
18.440000	0.001547	0.000365
18.520000	0.002149	0.000430
18.600000	0.002492	0.000463
18.680000	0.001547	0.000365
18.760000	0.001719	0.000384
18.840000	0.001719	0.000384
18.920000	0.001719	0.000384
19.000000	0.001461	0.000354
19.080000	0.001289	0.000333
19.160000	0.001633	0.000375
19.240000	0.002492	0.000463
19.320000	0.001719	0.000384
19.400000	0.002664	0.000479
19.480000	0.001633	0.000375
19.560000	0.001719	0.000384
19.640000	0.002750	0.000486
19.720000	0.001719	0.000384
19.800000	0.002063	0.000421
19.880000	0.001289	0.000333
19.960000	0.001805	0.000394
proton dca distribution fitted:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.013329	0.001070
0.120000	0.044877	0.001962
0.200000	0.067327	0.002399
0.280000	0.095085	0.002845
0.360000	0.111932	0.003078
0.440000	0.125005	0.003242
0.520000	0.131203	0.003306
0.600000	0.133773	0.003320
0.680000	0.133382	0.003292
0.760000	0.136792	0.003311
0.840000	0.130571	0.003201
0.920000	0.120966	0.003037
1.000000	0.113622	0.002897
1.080000	0.111352	0.002826
1.160000	0.100123	0.002608
1.240000	0.097963	0.002529
1.320000	0.089210	0.002328
1.400000	0.084161	0.002183
1.480000	0.078590	0.002016
