Figure 2-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign protons
-1.16<=dy<-1.08 	 15<=dphi<25 	 R2=-0.00818247
-1.08<=dy<-1 	 15<=dphi<25 	 R2=0.0181057
-1<=dy<-0.92 	 15<=dphi<25 	 R2=0.0213251
-0.92<=dy<-0.84 	 15<=dphi<25 	 R2=0.00336856
-0.84<=dy<-0.76 	 15<=dphi<25 	 R2=0.0102695
-0.76<=dy<-0.68 	 15<=dphi<25 	 R2=0.00466486
-0.68<=dy<-0.6 	 15<=dphi<25 	 R2=0.0181766
-0.6<=dy<-0.52 	 15<=dphi<25 	 R2=0.0126152
-0.52<=dy<-0.44 	 15<=dphi<25 	 R2=-6.08011e-05
-0.44<=dy<-0.36 	 15<=dphi<25 	 R2=2.60688e-05
-0.36<=dy<-0.28 	 15<=dphi<25 	 R2=-0.0120074
-0.28<=dy<-0.2 	 15<=dphi<25 	 R2=-0.0217616
-0.2<=dy<-0.12 	 15<=dphi<25 	 R2=-0.0289715
-0.12<=dy<-0.04 	 15<=dphi<25 	 R2=-0.0177402
-0.04<=dy<0.04 	 15<=dphi<25 	 R2=-0.0197639
0.04<=dy<0.12 	 15<=dphi<25 	 R2=-0.0177402
0.12<=dy<0.2 	 15<=dphi<25 	 R2=-0.0289715
0.2<=dy<0.28 	 15<=dphi<25 	 R2=-0.00791084
0.28<=dy<0.36 	 15<=dphi<25 	 R2=-0.0202522
0.36<=dy<0.44 	 15<=dphi<25 	 R2=-0.0104241
0.44<=dy<0.52 	 15<=dphi<25 	 R2=-0.0129724
0.52<=dy<0.6 	 15<=dphi<25 	 R2=-0.0107116
0.6<=dy<0.68 	 15<=dphi<25 	 R2=-0.00359597
0.68<=dy<0.76 	 15<=dphi<25 	 R2=-0.0167843
0.76<=dy<0.84 	 15<=dphi<25 	 R2=-0.0064288
0.84<=dy<0.92 	 15<=dphi<25 	 R2=-0.0334048
0.92<=dy<1 	 15<=dphi<25 	 R2=0.00774572
1<=dy<1.08 	 15<=dphi<25 	 R2=0.0226417
1.08<=dy<1.16 	 15<=dphi<25 	 R2=-0.040933
-1.16<=dy<-1.08 	 25<=dphi<35 	 R2=0.0105322
-1.08<=dy<-1 	 25<=dphi<35 	 R2=-0.000172427
-1<=dy<-0.92 	 25<=dphi<35 	 R2=-0.0356428
-0.92<=dy<-0.84 	 25<=dphi<35 	 R2=-0.00569799
-0.84<=dy<-0.76 	 25<=dphi<35 	 R2=-0.00732262
-0.76<=dy<-0.68 	 25<=dphi<35 	 R2=-0.00524776
-0.68<=dy<-0.6 	 25<=dphi<35 	 R2=0.0102381
-0.6<=dy<-0.52 	 25<=dphi<35 	 R2=0.00334581
-0.52<=dy<-0.44 	 25<=dphi<35 	 R2=0.00426532
-0.44<=dy<-0.36 	 25<=dphi<35 	 R2=-0.00566446
-0.36<=dy<-0.28 	 25<=dphi<35 	 R2=-0.0194977
-0.28<=dy<-0.2 	 25<=dphi<35 	 R2=-0.0197584
-0.2<=dy<-0.12 	 25<=dphi<35 	 R2=-0.0215139
-0.12<=dy<-0.04 	 25<=dphi<35 	 R2=-0.0228153
-0.04<=dy<0.04 	 25<=dphi<35 	 R2=-0.00860978
0.04<=dy<0.12 	 25<=dphi<35 	 R2=-0.0280129
0.12<=dy<0.2 	 25<=dphi<35 	 R2=-0.0178504
0.2<=dy<0.28 	 25<=dphi<35 	 R2=-0.017651
0.28<=dy<0.36 	 25<=dphi<35 	 R2=-0.003335
0.36<=dy<0.44 	 25<=dphi<35 	 R2=-0.0206608
0.44<=dy<0.52 	 25<=dphi<35 	 R2=-0.0122485
0.52<=dy<0.6 	 25<=dphi<35 	 R2=-0.0189301
0.6<=dy<0.68 	 25<=dphi<35 	 R2=0.00549162
0.68<=dy<0.76 	 25<=dphi<35 	 R2=-0.0255845
0.76<=dy<0.84 	 25<=dphi<35 	 R2=-0.0128724
0.84<=dy<0.92 	 25<=dphi<35 	 R2=-0.0110079
0.92<=dy<1 	 25<=dphi<35 	 R2=0.00533038
1<=dy<1.08 	 25<=dphi<35 	 R2=-0.042757
1.08<=dy<1.16 	 25<=dphi<35 	 R2=-0.0530534
-1.16<=dy<-1.08 	 35<=dphi<45 	 R2=-0.0604546
-1.08<=dy<-1 	 35<=dphi<45 	 R2=0.00812532
-1<=dy<-0.92 	 35<=dphi<45 	 R2=-0.0107731
-0.92<=dy<-0.84 	 35<=dphi<45 	 R2=-0.00107471
-0.84<=dy<-0.76 	 35<=dphi<45 	 R2=-0.0125275
-0.76<=dy<-0.68 	 35<=dphi<45 	 R2=-0.00552351
-0.68<=dy<-0.6 	 35<=dphi<45 	 R2=-0.0254831
-0.6<=dy<-0.52 	 35<=dphi<45 	 R2=-0.015859
-0.52<=dy<-0.44 	 35<=dphi<45 	 R2=0.0043474
-0.44<=dy<-0.36 	 35<=dphi<45 	 R2=-0.0097139
-0.36<=dy<-0.28 	 35<=dphi<45 	 R2=-0.0161211
-0.28<=dy<-0.2 	 35<=dphi<45 	 R2=-0.0187119
-0.2<=dy<-0.12 	 35<=dphi<45 	 R2=-0.0178667
-0.12<=dy<-0.04 	 35<=dphi<45 	 R2=-0.0130783
-0.04<=dy<0.04 	 35<=dphi<45 	 R2=-0.00551339
0.04<=dy<0.12 	 35<=dphi<45 	 R2=-0.0207271
0.12<=dy<0.2 	 35<=dphi<45 	 R2=-0.0230218
0.2<=dy<0.28 	 35<=dphi<45 	 R2=-0.0204872
0.28<=dy<0.36 	 35<=dphi<45 	 R2=0.000458396
0.36<=dy<0.44 	 35<=dphi<45 	 R2=-0.00375927
0.44<=dy<0.52 	 35<=dphi<45 	 R2=-0.00798973
0.52<=dy<0.6 	 35<=dphi<45 	 R2=-0.00360879
0.6<=dy<0.68 	 35<=dphi<45 	 R2=-0.00810183
0.68<=dy<0.76 	 35<=dphi<45 	 R2=-0.00431575
0.76<=dy<0.84 	 35<=dphi<45 	 R2=-0.0105536
0.84<=dy<0.92 	 35<=dphi<45 	 R2=-0.0034855
0.92<=dy<1 	 35<=dphi<45 	 R2=-0.00694588
