Figure 3-2
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, unlike-sign kaons
0.44<=dy<0.52 	 15<=dphi<25 	 R2=0.0105402
0.52<=dy<0.6 	 15<=dphi<25 	 R2=0.0219908
0.6<=dy<0.68 	 15<=dphi<25 	 R2=0.0131291
0.68<=dy<0.76 	 15<=dphi<25 	 R2=0.00318941
-0.76<=dy<-0.68 	 25<=dphi<35 	 R2=-0.00220111
-0.68<=dy<-0.6 	 25<=dphi<35 	 R2=0.0154147
-0.6<=dy<-0.52 	 25<=dphi<35 	 R2=0.0153085
-0.52<=dy<-0.44 	 25<=dphi<35 	 R2=0.00851035
-0.44<=dy<-0.36 	 25<=dphi<35 	 R2=0.00902299
-0.36<=dy<-0.28 	 25<=dphi<35 	 R2=0.0123894
-0.28<=dy<-0.2 	 25<=dphi<35 	 R2=0.0141886
-0.2<=dy<-0.12 	 25<=dphi<35 	 R2=0.0228315
-0.12<=dy<-0.04 	 25<=dphi<35 	 R2=0.0248781
-0.04<=dy<0.04 	 25<=dphi<35 	 R2=0.0237971
0.04<=dy<0.12 	 25<=dphi<35 	 R2=0.0276165
0.12<=dy<0.2 	 25<=dphi<35 	 R2=0.0250349
0.2<=dy<0.28 	 25<=dphi<35 	 R2=0.0141451
0.28<=dy<0.36 	 25<=dphi<35 	 R2=0.00943419
0.36<=dy<0.44 	 25<=dphi<35 	 R2=0.0114868
0.44<=dy<0.52 	 25<=dphi<35 	 R2=0.000531788
0.52<=dy<0.6 	 25<=dphi<35 	 R2=0.00655421
0.6<=dy<0.68 	 25<=dphi<35 	 R2=0.00665742
0.68<=dy<0.76 	 25<=dphi<35 	 R2=-0.00617026
-0.76<=dy<-0.68 	 35<=dphi<45 	 R2=0.0154217
-0.68<=dy<-0.6 	 35<=dphi<45 	 R2=0.00495177
-0.6<=dy<-0.52 	 35<=dphi<45 	 R2=0.00147027
-0.52<=dy<-0.44 	 35<=dphi<45 	 R2=0.00280708
-0.44<=dy<-0.36 	 35<=dphi<45 	 R2=0.00412819
-0.36<=dy<-0.28 	 35<=dphi<45 	 R2=0.00678164
-0.28<=dy<-0.2 	 35<=dphi<45 	 R2=0.00412508
-0.2<=dy<-0.12 	 35<=dphi<45 	 R2=0.00481947
-0.12<=dy<-0.04 	 35<=dphi<45 	 R2=0.0107781
-0.04<=dy<0.04 	 35<=dphi<45 	 R2=0.00743587
0.04<=dy<0.12 	 35<=dphi<45 	 R2=0.0058927
0.12<=dy<0.2 	 35<=dphi<45 	 R2=0.00639519
0.2<=dy<0.28 	 35<=dphi<45 	 R2=0.00891601
