Figure 3-1
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, like-sign kaons
-0.44<=dy<-0.36 	 35<=dphi<45 	 R2=-0.000714205
-0.36<=dy<-0.28 	 35<=dphi<45 	 R2=0.00247329
-0.28<=dy<-0.2 	 35<=dphi<45 	 R2=-0.00305863
-0.2<=dy<-0.12 	 35<=dphi<45 	 R2=-0.00110111
-0.12<=dy<-0.04 	 35<=dphi<45 	 R2=-0.00470069
-0.04<=dy<0.04 	 35<=dphi<45 	 R2=-0.00164648
0.04<=dy<0.12 	 35<=dphi<45 	 R2=-0.00327983
0.12<=dy<0.2 	 35<=dphi<45 	 R2=-0.00595614
0.2<=dy<0.28 	 35<=dphi<45 	 R2=-0.00103309
0.28<=dy<0.36 	 35<=dphi<45 	 R2=-0.000426083
0.36<=dy<0.44 	 35<=dphi<45 	 R2=-0.00313893
0.44<=dy<0.52 	 35<=dphi<45 	 R2=0.00281967
0.52<=dy<0.6 	 35<=dphi<45 	 R2=-0.000542357
0.6<=dy<0.68 	 35<=dphi<45 	 R2=0.00323539
0.68<=dy<0.76 	 35<=dphi<45 	 R2=-0.000822864
-0.76<=dy<-0.68 	 45<=dphi<55 	 R2=-0.0125772
-0.68<=dy<-0.6 	 45<=dphi<55 	 R2=-0.00915706
-0.6<=dy<-0.52 	 45<=dphi<55 	 R2=-0.00349469
-0.52<=dy<-0.44 	 45<=dphi<55 	 R2=-0.00367151
-0.44<=dy<-0.36 	 45<=dphi<55 	 R2=-0.00462494
-0.36<=dy<-0.28 	 45<=dphi<55 	 R2=-0.00154371
-0.28<=dy<-0.2 	 45<=dphi<55 	 R2=-0.000349747
-0.2<=dy<-0.12 	 45<=dphi<55 	 R2=-0.00659458
-0.12<=dy<-0.04 	 45<=dphi<55 	 R2=-0.00083006
-0.04<=dy<0.04 	 45<=dphi<55 	 R2=-0.00634444
0.04<=dy<0.12 	 45<=dphi<55 	 R2=-0.00580719
0.12<=dy<0.2 	 45<=dphi<55 	 R2=-0.0073112
0.2<=dy<0.28 	 45<=dphi<55 	 R2=-0.00766408
0.28<=dy<0.36 	 45<=dphi<55 	 R2=-0.00442054
0.36<=dy<0.44 	 45<=dphi<55 	 R2=-0.00633725
0.44<=dy<0.52 	 45<=dphi<55 	 R2=-0.00335871
0.52<=dy<0.6 	 45<=dphi<55 	 R2=-0.00295496
0.6<=dy<0.68 	 45<=dphi<55 	 R2=0.0026382
0.68<=dy<0.76 	 45<=dphi<55 	 R2=0.00432754
-0.76<=dy<-0.68 	 55<=dphi<65 	 R2=-0.00515102
-0.68<=dy<-0.6 	 55<=dphi<65 	 R2=-0.00108426
-0.6<=dy<-0.52 	 55<=dphi<65 	 R2=-0.00240959
-0.52<=dy<-0.44 	 55<=dphi<65 	 R2=-0.0154991
-0.44<=dy<-0.36 	 55<=dphi<65 	 R2=-0.0085834
-0.36<=dy<-0.28 	 55<=dphi<65 	 R2=-0.00944752
