Figure 1-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign pions
0.51<=dy<0.57 	 25<=dphi<35 	 R2=-0.0075987
0.57<=dy<0.63 	 25<=dphi<35 	 R2=-0.00395336
0.63<=dy<0.69 	 25<=dphi<35 	 R2=-0.0146334
0.69<=dy<0.75 	 25<=dphi<35 	 R2=-0.00540355
0.75<=dy<0.81 	 25<=dphi<35 	 R2=-0.000236591
-0.81<=dy<-0.75 	 35<=dphi<45 	 R2=-0.019707
-0.75<=dy<-0.69 	 35<=dphi<45 	 R2=-0.0211965
-0.69<=dy<-0.63 	 35<=dphi<45 	 R2=-0.00784195
-0.63<=dy<-0.57 	 35<=dphi<45 	 R2=-0.00655761
-0.57<=dy<-0.51 	 35<=dphi<45 	 R2=-0.00714075
-0.51<=dy<-0.45 	 35<=dphi<45 	 R2=-0.0117929
-0.45<=dy<-0.39 	 35<=dphi<45 	 R2=-0.0106026
-0.39<=dy<-0.33 	 35<=dphi<45 	 R2=-0.00655869
-0.33<=dy<-0.27 	 35<=dphi<45 	 R2=0.00567574
-0.27<=dy<-0.21 	 35<=dphi<45 	 R2=-0.00800116
-0.21<=dy<-0.15 	 35<=dphi<45 	 R2=-0.00945549
-0.15<=dy<-0.09 	 35<=dphi<45 	 R2=-0.00244976
-0.09<=dy<-0.03 	 35<=dphi<45 	 R2=-0.00589867
-0.03<=dy<0.03 	 35<=dphi<45 	 R2=-0.00665446
0.03<=dy<0.09 	 35<=dphi<45 	 R2=-0.00837337
0.09<=dy<0.15 	 35<=dphi<45 	 R2=-0.00194119
0.15<=dy<0.21 	 35<=dphi<45 	 R2=-0.00469599
0.21<=dy<0.27 	 35<=dphi<45 	 R2=-0.00547274
0.27<=dy<0.33 	 35<=dphi<45 	 R2=-0.0082422
0.33<=dy<0.39 	 35<=dphi<45 	 R2=0.00255032
0.39<=dy<0.45 	 35<=dphi<45 	 R2=-0.00606544
0.45<=dy<0.51 	 35<=dphi<45 	 R2=-0.0147239
0.51<=dy<0.57 	 35<=dphi<45 	 R2=-0.00600077
0.57<=dy<0.63 	 35<=dphi<45 	 R2=-0.00934971
0.63<=dy<0.69 	 35<=dphi<45 	 R2=-0.0142425
0.69<=dy<0.75 	 35<=dphi<45 	 R2=-0.0190731
0.75<=dy<0.81 	 35<=dphi<45 	 R2=-0.00840518
-0.81<=dy<-0.75 	 45<=dphi<55 	 R2=-0.00723616
-0.75<=dy<-0.69 	 45<=dphi<55 	 R2=-0.0115313
-0.69<=dy<-0.63 	 45<=dphi<55 	 R2=-0.0183349
-0.63<=dy<-0.57 	 45<=dphi<55 	 R2=-0.00978069
-0.57<=dy<-0.51 	 45<=dphi<55 	 R2=-0.00813568
-0.51<=dy<-0.45 	 45<=dphi<55 	 R2=-0.00847167
-0.45<=dy<-0.39 	 45<=dphi<55 	 R2=-0.0166096
-0.39<=dy<-0.33 	 45<=dphi<55 	 R2=-0.00897108
-0.33<=dy<-0.27 	 45<=dphi<55 	 R2=-0.0111519
-0.27<=dy<-0.21 	 45<=dphi<55 	 R2=-0.0109904
-0.21<=dy<-0.15 	 45<=dphi<55 	 R2=-0.00346892
-0.15<=dy<-0.09 	 45<=dphi<55 	 R2=-0.00906684
-0.09<=dy<-0.03 	 45<=dphi<55 	 R2=-0.00505451
-0.03<=dy<0.03 	 45<=dphi<55 	 R2=-0.00410393
0.03<=dy<0.09 	 45<=dphi<55 	 R2=-0.00753421
0.09<=dy<0.15 	 45<=dphi<55 	 R2=-0.00363575
0.15<=dy<0.21 	 45<=dphi<55 	 R2=-0.00800138
0.21<=dy<0.27 	 45<=dphi<55 	 R2=-0.00332421
0.27<=dy<0.33 	 45<=dphi<55 	 R2=-0.00515951
0.33<=dy<0.39 	 45<=dphi<55 	 R2=-0.00781671
0.39<=dy<0.45 	 45<=dphi<55 	 R2=-0.0123546
