Figure 1-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign pions
0.27<=dy<0.33 	 -35<=dphi<-25 	 R2=0.00806144
0.33<=dy<0.39 	 -35<=dphi<-25 	 R2=0.0071016
0.39<=dy<0.45 	 -35<=dphi<-25 	 R2=-0.00198944
0.45<=dy<0.51 	 -35<=dphi<-25 	 R2=-0.00660732
0.51<=dy<0.57 	 -35<=dphi<-25 	 R2=-0.00258349
0.57<=dy<0.63 	 -35<=dphi<-25 	 R2=0.0111861
0.63<=dy<0.69 	 -35<=dphi<-25 	 R2=0.0281746
0.69<=dy<0.75 	 -35<=dphi<-25 	 R2=-0.000279037
0.75<=dy<0.81 	 -35<=dphi<-25 	 R2=0.0101244
-0.81<=dy<-0.75 	 -25<=dphi<-15 	 R2=-0.000964835
-0.75<=dy<-0.69 	 -25<=dphi<-15 	 R2=-0.0139166
-0.69<=dy<-0.63 	 -25<=dphi<-15 	 R2=-0.00413218
-0.63<=dy<-0.57 	 -25<=dphi<-15 	 R2=-0.0200188
-0.57<=dy<-0.51 	 -25<=dphi<-15 	 R2=-0.00489761
-0.51<=dy<-0.45 	 -25<=dphi<-15 	 R2=0.00195651
-0.45<=dy<-0.39 	 -25<=dphi<-15 	 R2=-0.00994597
-0.39<=dy<-0.33 	 -25<=dphi<-15 	 R2=0.00115212
-0.33<=dy<-0.27 	 -25<=dphi<-15 	 R2=0.00166168
-0.27<=dy<-0.21 	 -25<=dphi<-15 	 R2=0.00342864
-0.21<=dy<-0.15 	 -25<=dphi<-15 	 R2=0.00584888
-0.15<=dy<-0.09 	 -25<=dphi<-15 	 R2=0.00659447
-0.09<=dy<-0.03 	 -25<=dphi<-15 	 R2=0.0110634
-0.03<=dy<0.03 	 -25<=dphi<-15 	 R2=0.010111
0.03<=dy<0.09 	 -25<=dphi<-15 	 R2=0.00182612
0.09<=dy<0.15 	 -25<=dphi<-15 	 R2=0.0074305
0.15<=dy<0.21 	 -25<=dphi<-15 	 R2=0.00866839
0.21<=dy<0.27 	 -25<=dphi<-15 	 R2=0.00115461
0.27<=dy<0.33 	 -25<=dphi<-15 	 R2=0.00581309
0.33<=dy<0.39 	 -25<=dphi<-15 	 R2=0.00384922
0.39<=dy<0.45 	 -25<=dphi<-15 	 R2=0.00293789
0.45<=dy<0.51 	 -25<=dphi<-15 	 R2=0.00514807
0.51<=dy<0.57 	 -25<=dphi<-15 	 R2=9.16779e-05
0.57<=dy<0.63 	 -25<=dphi<-15 	 R2=-0.00190628
0.63<=dy<0.69 	 -25<=dphi<-15 	 R2=0.0125643
0.69<=dy<0.75 	 -25<=dphi<-15 	 R2=-0.00623065
0.75<=dy<0.81 	 -25<=dphi<-15 	 R2=-0.0204871
-0.81<=dy<-0.75 	 -15<=dphi<-5 	 R2=-0.00450997
-0.75<=dy<-0.69 	 -15<=dphi<-5 	 R2=0.0222143
-0.69<=dy<-0.63 	 -15<=dphi<-5 	 R2=0.0040944
-0.63<=dy<-0.57 	 -15<=dphi<-5 	 R2=-0.000622122
-0.57<=dy<-0.51 	 -15<=dphi<-5 	 R2=0.00260414
-0.51<=dy<-0.45 	 -15<=dphi<-5 	 R2=-0.00236629
-0.45<=dy<-0.39 	 -15<=dphi<-5 	 R2=0.00761054
-0.39<=dy<-0.33 	 -15<=dphi<-5 	 R2=0.00542509
-0.33<=dy<-0.27 	 -15<=dphi<-5 	 R2=0.000522535
-0.27<=dy<-0.21 	 -15<=dphi<-5 	 R2=0.00864576
-0.21<=dy<-0.15 	 -15<=dphi<-5 	 R2=0.00793458
-0.15<=dy<-0.09 	 -15<=dphi<-5 	 R2=0.0176285
-0.09<=dy<-0.03 	 -15<=dphi<-5 	 R2=0.0128
-0.03<=dy<0.03 	 -15<=dphi<-5 	 R2=0.0191437
0.03<=dy<0.09 	 -15<=dphi<-5 	 R2=0.0151084
0.09<=dy<0.15 	 -15<=dphi<-5 	 R2=0.0124141
0.15<=dy<0.21 	 -15<=dphi<-5 	 R2=0.00680741
0.21<=dy<0.27 	 -15<=dphi<-5 	 R2=0.00747103
0.27<=dy<0.33 	 -15<=dphi<-5 	 R2=0.0051068
0.33<=dy<0.39 	 -15<=dphi<-5 	 R2=0.01024
0.39<=dy<0.45 	 -15<=dphi<-5 	 R2=0.010417
0.45<=dy<0.51 	 -15<=dphi<-5 	 R2=-0.00148579
0.51<=dy<0.57 	 -15<=dphi<-5 	 R2=-0.0013065
0.57<=dy<0.63 	 -15<=dphi<-5 	 R2=0.00991352
0.63<=dy<0.69 	 -15<=dphi<-5 	 R2=0.016683
0.69<=dy<0.75 	 -15<=dphi<-5 	 R2=-0.00250176
0.75<=dy<0.81 	 -15<=dphi<-5 	 R2=0.00405487
-0.81<=dy<-0.75 	 -5<=dphi<5 	 R2=-0.0193837
-0.75<=dy<-0.69 	 -5<=dphi<5 	 R2=0.015023
-0.69<=dy<-0.63 	 -5<=dphi<5 	 R2=-0.0175096
-0.63<=dy<-0.57 	 -5<=dphi<5 	 R2=-0.0167364
-0.57<=dy<-0.51 	 -5<=dphi<5 	 R2=-0.00479147
-0.51<=dy<-0.45 	 -5<=dphi<5 	 R2=0.00368279
-0.45<=dy<-0.39 	 -5<=dphi<5 	 R2=0.0038661
-0.39<=dy<-0.33 	 -5<=dphi<5 	 R2=-0.00245204
-0.33<=dy<-0.27 	 -5<=dphi<5 	 R2=-0.0103042
-0.27<=dy<-0.21 	 -5<=dphi<5 	 R2=0.0109605
-0.21<=dy<-0.15 	 -5<=dphi<5 	 R2=0.0108647
-0.15<=dy<-0.09 	 -5<=dphi<5 	 R2=0.0150042
-0.09<=dy<-0.03 	 -5<=dphi<5 	 R2=0.0288533
-0.03<=dy<0.03 	 -5<=dphi<5 	 R2=0.0424307
0.03<=dy<0.09 	 -5<=dphi<5 	 R2=0.0268497
0.09<=dy<0.15 	 -5<=dphi<5 	 R2=0.0260179
0.15<=dy<0.21 	 -5<=dphi<5 	 R2=0.0047557
0.21<=dy<0.27 	 -5<=dphi<5 	 R2=0.0140619
0.27<=dy<0.33 	 -5<=dphi<5 	 R2=0.00764504
0.33<=dy<0.39 	 -5<=dphi<5 	 R2=0.00325021
0.39<=dy<0.45 	 -5<=dphi<5 	 R2=0.00581546
0.45<=dy<0.51 	 -5<=dphi<5 	 R2=0.00285283
0.51<=dy<0.57 	 -5<=dphi<5 	 R2=-0.00433555
0.57<=dy<0.63 	 -5<=dphi<5 	 R2=0.0023408
0.63<=dy<0.69 	 -5<=dphi<5 	 R2=-0.0103334
0.69<=dy<0.75 	 -5<=dphi<5 	 R2=0.0118297
0.75<=dy<0.81 	 -5<=dphi<5 	 R2=-0.00338977
-0.81<=dy<-0.75 	 5<=dphi<15 	 R2=-0.00876913
-0.75<=dy<-0.69 	 5<=dphi<15 	 R2=8.01172e-05
-0.69<=dy<-0.63 	 5<=dphi<15 	 R2=-0.00768722
-0.63<=dy<-0.57 	 5<=dphi<15 	 R2=-0.0100139
-0.57<=dy<-0.51 	 5<=dphi<15 	 R2=-0.00735743
-0.51<=dy<-0.45 	 5<=dphi<15 	 R2=-0.00643042
-0.45<=dy<-0.39 	 5<=dphi<15 	 R2=0.00973821
-0.39<=dy<-0.33 	 5<=dphi<15 	 R2=-0.00544459
-0.33<=dy<-0.27 	 5<=dphi<15 	 R2=0.0108883
-0.27<=dy<-0.21 	 5<=dphi<15 	 R2=0.00218321
-0.21<=dy<-0.15 	 5<=dphi<15 	 R2=0.0147987
-0.15<=dy<-0.09 	 5<=dphi<15 	 R2=0.0235931
-0.09<=dy<-0.03 	 5<=dphi<15 	 R2=0.0128
-0.03<=dy<0.03 	 5<=dphi<15 	 R2=0.0191437
0.03<=dy<0.09 	 5<=dphi<15 	 R2=0.0151084
0.09<=dy<0.15 	 5<=dphi<15 	 R2=0.00895015
0.15<=dy<0.21 	 5<=dphi<15 	 R2=0.0125225
0.21<=dy<0.27 	 5<=dphi<15 	 R2=-0.00286186
0.27<=dy<0.33 	 5<=dphi<15 	 R2=0.00261616
0.33<=dy<0.39 	 5<=dphi<15 	 R2=-0.00284792
0.39<=dy<0.45 	 5<=dphi<15 	 R2=-0.00869211
0.45<=dy<0.51 	 5<=dphi<15 	 R2=-0.00241769
0.51<=dy<0.57 	 5<=dphi<15 	 R2=0.000664509
0.57<=dy<0.63 	 5<=dphi<15 	 R2=0.00563199
0.63<=dy<0.69 	 5<=dphi<15 	 R2=-0.00608509
0.69<=dy<0.75 	 5<=dphi<15 	 R2=0.00918813
0.75<=dy<0.81 	 5<=dphi<15 	 R2=0.0118634
-0.81<=dy<-0.75 	 15<=dphi<25 	 R2=0.0127655
-0.75<=dy<-0.69 	 15<=dphi<25 	 R2=0.0127121
-0.69<=dy<-0.63 	 15<=dphi<25 	 R2=0.000958987
-0.63<=dy<-0.57 	 15<=dphi<25 	 R2=-0.00467686
-0.57<=dy<-0.51 	 15<=dphi<25 	 R2=-0.00924373
-0.51<=dy<-0.45 	 15<=dphi<25 	 R2=0.00240766
-0.45<=dy<-0.39 	 15<=dphi<25 	 R2=-0.000998886
-0.39<=dy<-0.33 	 15<=dphi<25 	 R2=-0.00268689
-0.33<=dy<-0.27 	 15<=dphi<25 	 R2=-0.000248624
-0.27<=dy<-0.21 	 15<=dphi<25 	 R2=0.00751315
-0.21<=dy<-0.15 	 15<=dphi<25 	 R2=0.00400995
-0.15<=dy<-0.09 	 15<=dphi<25 	 R2=0.000843832
-0.09<=dy<-0.03 	 15<=dphi<25 	 R2=0.0110634
-0.03<=dy<0.03 	 15<=dphi<25 	 R2=0.010111
0.03<=dy<0.09 	 15<=dphi<25 	 R2=0.00182612
0.09<=dy<0.15 	 15<=dphi<25 	 R2=0.00970773
0.15<=dy<0.21 	 15<=dphi<25 	 R2=0.008518
0.21<=dy<0.27 	 15<=dphi<25 	 R2=0.00472303
0.27<=dy<0.33 	 15<=dphi<25 	 R2=0.00642659
0.33<=dy<0.39 	 15<=dphi<25 	 R2=-0.00653772
0.39<=dy<0.45 	 15<=dphi<25 	 R2=0.00521006
0.45<=dy<0.51 	 15<=dphi<25 	 R2=0.0056165
0.51<=dy<0.57 	 15<=dphi<25 	 R2=0.0130143
0.57<=dy<0.63 	 15<=dphi<25 	 R2=-0.00714395
0.63<=dy<0.69 	 15<=dphi<25 	 R2=0.00739082
0.69<=dy<0.75 	 15<=dphi<25 	 R2=0.0023931
0.75<=dy<0.81 	 15<=dphi<25 	 R2=0.00914472
-0.81<=dy<-0.75 	 25<=dphi<35 	 R2=0.00836776
-0.75<=dy<-0.69 	 25<=dphi<35 	 R2=-0.0252089
-0.69<=dy<-0.63 	 25<=dphi<35 	 R2=-0.00755816
-0.63<=dy<-0.57 	 25<=dphi<35 	 R2=0.0009296
-0.57<=dy<-0.51 	 25<=dphi<35 	 R2=0.0010471
-0.51<=dy<-0.45 	 25<=dphi<35 	 R2=0.00497009
-0.45<=dy<-0.39 	 25<=dphi<35 	 R2=0.00309469
-0.39<=dy<-0.33 	 25<=dphi<35 	 R2=0.00717649
-0.33<=dy<-0.27 	 25<=dphi<35 	 R2=0.00631093
-0.27<=dy<-0.21 	 25<=dphi<35 	 R2=0.00149616
-0.21<=dy<-0.15 	 25<=dphi<35 	 R2=0.000896234
-0.15<=dy<-0.09 	 25<=dphi<35 	 R2=-0.000627647
-0.09<=dy<-0.03 	 25<=dphi<35 	 R2=0.00136834
-0.03<=dy<0.03 	 25<=dphi<35 	 R2=0.0111101
0.03<=dy<0.09 	 25<=dphi<35 	 R2=0.00498073
0.09<=dy<0.15 	 25<=dphi<35 	 R2=0.00356502
