# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# Central
3.0875 0.015 0.000385723 2.51987e-05 5.34423e-05 0.000412911 0.934156 1.00014 1.00335
3.0975 0.005 0.000356776 4.19939e-05 4.94931e-05 0.000416301 0.857015 1.00013 1.00328
3.1025 0.005 0.000303185 3.94925e-05 4.18849e-05 0.000399093 0.759686 1.0001 1.00335
3.115 0.02 0.0002596 1.87048e-05 3.6171e-05 0.000318336 0.815491 1.00012 1.00411
3.1375 0.025 0.000119098 1.27225e-05 1.66088e-05 0.000156388 0.761554 1.00024 1.00806
3.175 0.05 2.61877e-05 6.27577e-06 3.77915e-06 4.1019e-05 0.638429 1.00093 1.03041
3.325 0.25 6.9128e-06 2.20187e-06 1.03256e-06 7.16786e-06 0.964416 1.00293 1.14533
3.5625 0.225 4.99059e-06 1.84519e-06 8.2504e-07 5.36705e-06 0.929857 1.00173 1.14975
3.8125 0.275 3.48659e-06 1.32385e-06 5.17106e-07 4.30102e-06 0.810643 1.00089 1.07141
4.175 0.45 2.45111e-06 7.61328e-07 3.48979e-07 2.10462e-06 1.16464 1.00055 1
# MinBias
0.005 0.01 8.54261 0.00419677 1.189 9.35227 0.913427 1.00978 1
0.015 0.01 2.3376 0.00208122 0.325913 2.56547 0.911178 1.00672 1.00337
0.025 0.01 1.24544 0.00154769 0.174053 1.4271 0.872706 1.01207 1.00196
0.035 0.01 0.817673 0.00133036 0.114258 0.925359 0.883628 1.01862 1.00182
0.045 0.01 0.582377 0.00122807 0.0815885 0.665377 0.875259 1.0259 1.00183
0.055 0.01 0.429094 0.00117716 0.0600982 0.475754 0.901923 1.02315 1.00196
0.065 0.01 0.316058 0.00187224 0.0420803 0.35538 0.889353 1.031 1.00218
0.075 0.01 0.23654 0.0011708 0.0333959 0.247436 0.955963 1.04452 1.00258
0.085 0.01 0.167618 0.00117382 0.0236183 0.175653 0.954258 1.06269 1.00313
0.095 0.01 0.113203 0.00119146 0.0159434 0.114105 0.992093 1.09653 1.00423
0.105 0.01 0.06945 0.00120323 0.00981721 0.0741244 0.936938 1.13141 1.00622
0.1175 0.015 0.0441837 0.00101327 0.00625435 0.0403906 1.09391 1.24111 1.01172
0.15 0.05 0.0259795 0.000600504 0.0036982 0.0216975 1.19735 1.40069 1.0188
0.1875 0.025 0.0211262 0.000924451 0.00308767 0.0166919 1.26566 1.45813 1.04332
0.255 0.11 0.0133803 0.000491921 0.00194788 0.0115082 1.16268 1.44238 1.0374
0.355 0.09 0.0102765 0.000614786 0.00170568 0.00718066 1.43114 1.60514 1.22831
0.455 0.11 0.00903929 0.000631918 0.0013497 0.00474489 1.90506 1.97432 1.77015
0.57 0.12 0.00726674 0.000588825 0.00143127 0.00388672 1.86963 2.26261 2.21106
0.69 0.12 0.00767194 0.000513098 0.00124507 0.003522 2.17829 2.60549 2.64618
