# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
1.3 0.2 0.000260119 5.88956e-05 7.58739e-05 0.000187832 1.38485 1.38353 1.15713
1.53 0.26 0.000132901 3.70934e-05 3.12188e-05 0.000120696 1.10112 1.2562 1.14766
1.755 0.19 0.00013439 3.12331e-05 2.60809e-05 7.70731e-05 1.74367 1.18582 1.13495
1.9625 0.225 9.94273e-05 2.16051e-05 1.69328e-05 5.1547e-05 1.92887 1.14053 1.13329
2.2375 0.325 4.46625e-05 1.24988e-05 8.39712e-06 3.14359e-05 1.42075 1.09846 1.12373
2.5375 0.275 3.07032e-05 9.18459e-06 5.87786e-06 1.96449e-05 1.56291 1.05949 1.11371
2.8075 0.265 1.81536e-05 6.68851e-06 4.68469e-06 1.69873e-05 1.06866 1.03046 1.08477
2.9875 0.095 5.62704e-05 9.29166e-06 8.01048e-06 3.4092e-05 1.65055 1.00861 1.03277
3.045 0.02 0.000145484 2.045e-05 2.00492e-05 0.00010486 1.38741 1.00223 1.00993
3.0625 0.015 0.00016277 2.38756e-05 2.24993e-05 0.000185532 0.877315 1.00126 1.00549
3.0725 0.005 0.000242001 4.36101e-05 3.34986e-05 0.000241096 1.00375 1.00097 1.00418
3.0825 0.015 0.00026684 2.53262e-05 3.67954e-05 0.000284129 0.939149 1.00084 1.00352
3.0925 0.005 0.000377572 4.72865e-05 5.19312e-05 0.00030253 1.24805 1.00079 1.00323
3.0975 0.005 0.000306614 4.50054e-05 4.25126e-05 0.000295944 1.03606 1.00081 1.00332
3.11 0.02 0.00029244 2.21379e-05 4.05169e-05 0.000250949 1.16533 1.0007 1.0038
3.1275 0.015 0.000142369 2.20987e-05 1.96937e-05 0.000150094 0.94853 1.00114 1.00613
3.18 0.09 1.7163e-05 7.29067e-06 2.37783e-06 3.00473e-05 0.5712 1.00544 1.02775
3.3125 0.175 5.99518e-06 4.37527e-06 8.34921e-07 6.15788e-06 0.973579 1.01794 1.11374
3.625 0.45 6.88325e-06 1.94323e-06 9.54569e-07 4.50201e-06 1.52893 1.0099 1.10221
# pT:1.5-2.0 GeV/c
0.005 0.01 0.336956 0.000788648 0.0469531 0.311217 1.0827 1.01676 1
0.015 0.01 0.101893 0.000404403 0.0142112 0.0902085 1.12953 1.01283 1.00621
0.025 0.01 0.0536031 0.0002861 0.00747543 0.0496033 1.08063 1.02334 1.00384
0.035 0.01 0.0348174 0.000231972 0.0048564 0.0321729 1.0822 1.03599 1.00346
0.045 0.01 0.0246391 0.000200314 0.00344074 0.0232433 1.06005 1.04981 1.00323
0.055 0.01 0.0182569 0.000181551 0.00255101 0.0167152 1.09224 1.05786 1.00387
0.065 0.01 0.0135883 0.000168493 0.00190074 0.0123579 1.09956 1.07826 1.00386
0.075 0.01 0.0103363 0.000159465 0.00144851 0.00955947 1.08126 1.10116 1.00447
0.085 0.01 0.00768506 0.000154459 0.00107523 0.00683722 1.124 1.14147 1.00541
0.095 0.01 0.00530482 0.000149366 0.000747 0.00495556 1.07048 1.19517 1.00619
0.105 0.01 0.00399345 0.000149677 0.00056712 0.00277401 1.43959 1.20441 1.00942
0.145 0.07 0.00194311 5.7949e-05 0.000278641 0.00142677 1.36189 1.34468 1.01377
0.2275 0.095 0.000987558 5.73784e-05 0.000143671 0.000686082 1.43942 1.45687 1.01645
0.325 0.1 0.000720073 6.33476e-05 0.000106297 0.000398865 1.80531 1.60997 1.0167
0.4375 0.125 0.000623293 6.17255e-05 0.000123359 0.000218506 2.85252 2.02558 1.72444
0.57 0.14 0.000341315 6.18043e-05 5.81903e-05 0.00013346 2.55744 2.90355 1.65901
0.695 0.11 0.000569523 7.19433e-05 8.82091e-05 0.000139492 4.08284 3.61545 4.28129
0.765 0.03 0.00143374 0.00013806 0.000276289 0.000785064 1.82627 1.50886 1.53563
0.785 0.01 0.00204081 0.000241577 0.00057719 0.00178108 1.14583 1.20615 1.13516
0.8025 0.025 0.000724979 0.000150253 0.000254907 0.000444523 1.63092 1.65019 1.86465
0.8825 0.135 0.000392658 6.36117e-05 0.000135133 0.00010789 3.63944 2.32138 3.03523
0.9775 0.055 0.000484751 8.75502e-05 7.70352e-05 0.000306855 1.57974 1.34049 1.22139
1.01 0.01 0.00182094 0.000195642 0.000256548 0.00183235 0.993771 1.03988 1.05835
1.0275 0.025 0.00146759 0.000122572 0.000207347 0.00166152 0.883283 1.04398 1.01742
1.0825 0.085 0.000228841 6.3962e-05 4.99045e-05 0.000114706 1.99503 1.58522 1.14483
1.2625 0.275 0.00014425 3.38241e-05 3.80256e-05 6.41363e-05 2.24911 1.58971 1.14472
1.57 0.34 9.41117e-05 2.38618e-05 2.19173e-05 4.53284e-05 2.07622 1.28584 1.08878
2.025 0.57 3.03006e-05 1.10527e-05 8.74581e-06 2.36155e-05 1.28308 1.14387 1.07113
